applicant_id,gender,age_group,education_level,years_experience,skills_score,hired
1,Male,22-30,Bachelor,8,91,1
2,Female,31-40,Bachelor,1,74,1
3,Female,31-40,Bachelor,10,56,1
4,Female,31-40,High School,6,73,1
5,Male,41-50,Bachelor,4,85,0
6,Male,51+,Bachelor,11,78,1
7,Male,31-40,Bachelor,4,65,1
8,Female,22-30,Bachelor,1,55,0
9,Female,41-50,Bachelor,0,75,0
10,Female,22-30,Master,9,70,0
11,Male,31-40,High School,1,78,1
12,Female,22-30,Master,14,74,0
13,Female,22-30,Master,0,80,1
14,Male,51+,High School,13,56,1
15,Male,41-50,Master,7,84,1
16,Male,41-50,PhD,6,67,0
17,Male,31-40,High School,4,96,0
18,Male,22-30,Bachelor,8,54,1
19,Male,22-30,Master,6,91,1
20,Male,22-30,Master,11,67,1
21,Female,31-40,Bachelor,7,55,0
22,Male,41-50,Bachelor,7,57,1
23,Male,31-40,Bachelor,5,60,1
24,Male,22-30,Bachelor,6,71,1
25,Male,51+,Master,8,72,1
26,Female,41-50,Bachelor,0,56,0
27,Male,31-40,Bachelor,1,64,1
28,Male,31-40,Master,9,97,1
29,Female,31-40,High School,7,90,0
30,Male,22-30,Bachelor,6,71,1
31,Female,31-40,Master,7,65,0
32,Male,41-50,Master,8,66,1
33,Male,22-30,Bachelor,4,74,1
34,Female,22-30,Bachelor,3,49,0
35,Female,22-30,High School,7,61,0
36,Female,22-30,Bachelor,3,39,0
37,Male,41-50,Bachelor,8,70,0
38,Male,41-50,Bachelor,0,74,1
39,Female,31-40,Bachelor,11,57,1
40,Male,22-30,Bachelor,8,88,1
41,Male,31-40,High School,8,46,1
42,Male,31-40,Bachelor,10,43,1
43,Male,22-30,Bachelor,13,68,0
44,Female,31-40,Bachelor,11,80,1
45,Male,31-40,High School,0,90,1
46,Female,31-40,Master,1,58,0
47,Male,31-40,Bachelor,4,81,1
48,Male,22-30,Master,7,64,1
49,Male,31-40,Master,9,62,0
50,Male,31-40,Bachelor,4,78,1
51,Female,31-40,High School,7,74,0
52,Female,41-50,Bachelor,3,41,0
53,Female,31-40,Bachelor,4,87,1
54,Female,22-30,Master,1,85,1
55,Female,22-30,Bachelor,3,55,1
56,Female,31-40,Bachelor,1,70,0
57,Male,22-30,Bachelor,3,72,1
58,Male,31-40,Bachelor,11,68,0
59,Male,51+,Master,3,56,0
60,Male,31-40,Bachelor,17,54,1
61,Male,31-40,Bachelor,8,64,1
62,Male,31-40,PhD,7,82,1
63,Female,31-40,Master,3,73,1
64,Male,31-40,Bachelor,9,59,1
65,Male,51+,High School,4,76,1
66,Male,31-40,Bachelor,7,30,0
67,Male,51+,Bachelor,17,82,1
68,Female,51+,Bachelor,6,38,0
69,Male,22-30,Bachelor,11,59,1
70,Female,22-30,Bachelor,4,48,0
71,Female,22-30,Bachelor,6,45,1
72,Male,22-30,Master,14,82,1
73,Male,22-30,High School,4,57,0
74,Female,41-50,Bachelor,14,70,0
75,Female,22-30,Bachelor,9,64,0
76,Female,22-30,PhD,4,72,1
77,Female,41-50,High School,9,66,0
78,Male,22-30,Bachelor,10,45,1
79,Male,41-50,PhD,9,79,0
80,Male,22-30,Master,0,57,1
81,Female,22-30,Master,4,41,1
82,Female,41-50,Bachelor,6,58,0
83,Male,31-40,Bachelor,6,87,1
84,Male,41-50,Master,9,77,1
85,Male,41-50,PhD,7,59,0
86,Male,41-50,Bachelor,1,59,0
87,Female,22-30,Bachelor,8,60,1
88,Female,22-30,Bachelor,9,96,1
89,Female,41-50,Master,9,70,0
90,Male,41-50,Bachelor,11,71,1
91,Male,51+,Bachelor,10,80,1
92,Female,31-40,Bachelor,8,68,1
93,Female,31-40,Bachelor,6,61,0
94,Male,41-50,Bachelor,0,62,1
95,Female,31-40,High School,8,63,0
96,Male,51+,Master,7,64,1
97,Male,41-50,Bachelor,8,75,0
98,Male,31-40,Bachelor,1,65,1
99,Male,41-50,Bachelor,2,75,1
100,Male,41-50,Bachelor,11,63,1
101,Male,22-30,Bachelor,6,66,1
102,Female,51+,High School,9,35,1
103,Male,31-40,Bachelor,7,78,0
104,Male,41-50,Bachelor,7,70,0
